1:0:d=2015123100:UGRD:planetary boundary layer:3 hour fcst:
2:170573:d=2015123100:VGRD:planetary boundary layer:3 hour fcst:
3:338576:d=2015123100:var discipline=0 center=7 local_table=1 parmcat=2 parm=224:planetary boundary layer:3 hour fcst:
4:426565:d=2015123100:GUST:surface:3 hour fcst:
339:62026191:d=2015123100:RH:0.72-0.94 sigma layer:3 hour fcst:
340:62095028:d=2015123100:RH:0.44-0.72 sigma layer:3 hour fcst:
341:62217987:d=2015123100:TMP:0.995 sigma level:3 hour fcst:
342:62455897:d=2015123100:POT:0.995 sigma level:3 hour fcst:
343:62683719:d=2015123100:RH:0.995 sigma level:3 hour fcst:
344:62809766:d=2015123100:UGRD:0.995 sigma level:3 hour fcst:
345:63068753:d=2015123100:VGRD:0.995 sigma level:3 hour fcst:
346:63325809:d=2015123100:VVEL:0.995 sigma level:3 hour fcst:
347:63603427:d=2015123100:CAPE:255-0 mb above ground:3 hour fcst:
348:63734556:d=2015123100:CIN:255-0 mb above ground:3 hour fcst:
349:63867786:d=2015123100:PLPL:255-0 mb above ground:3 hour fcst:
350:64130281:d=2015123100:LAND:surface:3 hour fcst:
351:64143517:d=2015123100:ICEC:surface:3 hour fcst:
352:64169364:d=2015123100:ALBDO:surface:0-3 hour ave fcst:
353:64318395:d=2015123100:UGRD:PV=2e-06 (Km^2/kg/s) surface:3 hour fcst:
354:64437038:d=2015123100:VGRD:PV=2e-06 (Km^2/kg/s) surface:3 hour fcst:
355:64551170:d=2015123100:TMP:PV=2e-06 (Km^2/kg/s) surface:3 hour fcst:
356:64718429:d=2015123100:HGT:PV=2e-06 (Km^2/kg/s) surface:3 hour fcst:
357:64923121:d=2015123100:PRES:PV=2e-06 (Km^2/kg/s) surface:3 hour fcst:
358:65123297:d=2015123100:VWSH:PV=2e-06 (Km^2/kg/s) surface:3 hour fcst:
359:65262734:d=2015123100:UGRD:PV=-2e-06 (Km^2/kg/s) surface:3 hour fcst:
360:65376869:d=2015123100:VGRD:PV=-2e-06 (Km^2/kg/s) surface:3 hour fcst:
361:65490005:d=2015123100:TMP:PV=-2e-06 (Km^2/kg/s) surface:3 hour fcst:
362:65657373:d=2015123100:HGT:PV=-2e-06 (Km^2/kg/s) surface:3 hour fcst:
363:65860602:d=2015123100:PRES:PV=-2e-06 (Km^2/kg/s) surface:3 hour fcst:
364:66059867:d=2015123100:VWSH:PV=-2e-06 (Km^2/kg/s) surface:3 hour fcst:
365:66200337:d=2015123100:PRMSL:mean sea level:3 hour fcst:
366:66395289:d=2015123100:5WAVH:500 mb:3 hour fcst:
