1:0:d=2015012800:PRMSL:mean sea level:48 hour fcst:
2:1536377:d=2015012800:PRES:1 hybrid level:48 hour fcst:
3:1853650:d=2015012800:HGT:1 hybrid level:48 hour fcst:
4:2818039:d=2015012800:TMP:1 hybrid level:48 hour fcst:
5:3771342:d=2015012800:RH:1 hybrid level:48 hour fcst:
6:5253796:d=2015012800:DPT:1 hybrid level:48 hour fcst:
7:6859422:d=2015012800:SPFH:1 hybrid level:48 hour fcst:
8:7432021:d=2015012800:UGRD:1 hybrid level:48 hour fcst:
9:8603661:d=2015012800:VGRD:1 hybrid level:48 hour fcst:
10:9742798:d=2015012800:PRES:2 hybrid level:48 hour fcst:
11:10064214:d=2015012800:HGT:2 hybrid level:48 hour fcst:
12:11094891:d=2015012800:TMP:2 hybrid level:48 hour fcst:
13:12018575:d=2015012800:DPT:2 hybrid level:48 hour fcst:
14:13598875:d=2015012800:SPFH:2 hybrid level:48 hour fcst:
15:14144158:d=2015012800:UGRD:2 hybrid level:48 hour fcst:
16:15324695:d=2015012800:VGRD:2 hybrid level:48 hour fcst:
17:16472999:d=2015012800:REFC:entire atmosphere (considered as a single layer):48 hour fcst:
18:17133645:d=2015012800:VIS:surface:48 hour fcst:
19:17239804:d=2015012800:VIS:surface:48 hour fcst:
20:17850726:d=2015012800:GUST:surface:48 hour fcst:
251:265164270:d=2015012800:TMP:surface:48 hour fcst:
252:266396365:d=2015012800:TSOIL:0-0.1 m below ground:48 hour fcst:
253:266771606:d=2015012800:SOILW:0-0.1 m below ground:48 hour fcst:
254:267232646:d=2015012800:SOILL:0-0.1 m below ground:48 hour fcst:
255:267693686:d=2015012800:TSOIL:0.1-0.4 m below ground:48 hour fcst:
256:267994198:d=2015012800:SOILW:0.1-0.4 m below ground:48 hour fcst:
257:268415053:d=2015012800:SOILL:0.1-0.4 m below ground:48 hour fcst:
258:268835908:d=2015012800:TSOIL:0.4-1 m below ground:48 hour fcst:
259:269121088:d=2015012800:SOILW:0.4-1 m below ground:48 hour fcst:
260:269487584:d=2015012800:SOILL:0.4-1 m below ground:48 hour fcst:
261:269854080:d=2015012800:TSOIL:1-2 m below ground:48 hour fcst:
262:270138079:d=2015012800:SOILW:1-2 m below ground:48 hour fcst:
263:270470704:d=2015012800:SOILL:1-2 m below ground:48 hour fcst:
264:270803329:d=2015012800:TSOIL:3 m underground:48 hour fcst:
265:271878490:d=2015012800:MSTAV:0-1 m below ground:48 hour fcst:
266:271878706:d=2015012800:SOILM:0-2 m below ground:48 hour fcst:
267:271911412:d=2015012800:WEASD:surface:48 hour fcst:
268:271912190:d=2015012800:SNOL:surface:0-2 day acc fcst:
